id,name,slug,category,subcategory,gender_category,style,description,image_url
1,"Women's Beige Casual Graphic Print Tunic",women-s-beige-casual-graphic-print-tunic,Tops,Tunic,Women,casual,"Female's beige tunic with graphic design. Casual style.",/products/extracted-products/female_beige_tunic_graphic_file_1616x1080_001321_Large_1.png
2,"Women's Beige Casual Graphic Print Hoodie",women-s-beige-casual-graphic-print-hoodie,Tops,Hoodie,Women,casual,"Female's beige hoodie with graphic design. Casual style.",/products/extracted-products/female_beige_hoodie_graphic_SONY_ILCE-7RM5_9600x6376_000237_1.png
3,"Women's Black Casual Graphic Print Dress",women-s-black-casual-graphic-print-dress,Dresses,Dress,Women,casual,"Female's black dress with graphic design. Casual style.",/products/extracted-products/female_black_dress_graphic__DSC6503_1.png
4,"Women's Black Casual Graphic Print Blouse",women-s-black-casual-graphic-print-blouse,Tops,Blouse,Women,casual,"Female's black blouse with graphic design. Casual style.",/products/extracted-products/female_black_blouse_graphic__DSC3952_Large_1.png
5,"Kids's Black Casual Graphic Print Dress",kids-s-black-casual-graphic-print-dress,Kids,Dresses,Kids,casual,"Adorable girl's black dress with graphic design. Casual style.",/products/extracted-products/female_black_dress_graphic__DSC5389_1.png
6,"Women's Black Casual Dress",women-s-black-casual-dress,Dresses,Dress,Women,casual,"Female's black dress. Casual style.",/products/extracted-products/female_black_dress_SONY_ILCE-7RM5_9600x6376_000156_1.png
7,"Women's Black Casual Speckled Print Dress",women-s-black-casual-speckled-print-dress,Dresses,Dress,Women,casual,"Female's black dress with speckled design. Casual style.",/products/extracted-products/female_black_dress_speckled__DSC4127_Large_1.png
8,"Women's Black Casual Dress",women-s-black-casual-dress-2,Dresses,Dress,Women,casual,"Female's black dress. Casual style.",/products/extracted-products/female_black_dress__DSC4537_Large_1.png
9,"Women's Black Streetwear Graphic Print Hoodie",women-s-black-streetwear-graphic-print-hoodie,Tops,Hoodie,Women,streetwear,"Female's black hoodie with graphic design. Streetwear style.",/products/extracted-products/female_black_hoodie_graphic_print_streetwear__DSC6406.png
10,"Women's Black Casual Graphic Print Hoodie",women-s-black-casual-graphic-print-hoodie-2,Tops,Hoodie,Women,casual,"Female's black hoodie with graphic design. Casual style.",/products/extracted-products/female_black_hoodie_graphic__DSC6406_1.png
11,"Women's Black Minimalist Minimalist Print Dress",women-s-black-minimalist-minimalist-print-dress,Dresses,Dress,Women,minimalist,"Female's black dress with minimalist design. Minimalist style.",/products/extracted-products/female_black_midi_slip_dress_minimalist_SONY_ILCE_7RM5_9600x.png
12,"Women's Black Casual Mules",women-s-black-casual-mules,Footwear,Mules,Women,casual,"Female's black mules. Casual style.",/products/extracted-products/female_black_mules_SONY_ILCE-7RM5_9600x6376_000156_2.png
13,"Women's Beige Casual Graphic Print Sweatpants",women-s-beige-casual-graphic-print-sweatpants,Bottoms,Sweatpants,Women,casual,"Female's beige sweatpants with graphic design. Casual style.",/products/extracted-products/female_beige_sweatpants_graphic_SONY_ILCE-7RM5_9600x6376_000237_2.png
14,"Women's Black Casual Graphic Print Hoodie",women-s-black-casual-graphic-print-hoodie,Tops,Hoodie,Women,casual,"Female's black hoodie with graphic design. Casual style.",/products/extracted-products/female_black_hoodie_graphic__DSC3510_Large_1.png
15,"Women's Black Casual Graphic Print Dress",women-s-black-casual-graphic-print-dress-2,Dresses,Dress,Women,casual,"Female's black dress with graphic design. Casual style.",/products/extracted-products/female_black_mini_dress_graphic_print_casual__DSC6503.png
16,"Women's Black Casual Mules",women-s-black-casual-mules-2,Footwear,Mules,Women,casual,"Female's black mules. Casual style.",/products/extracted-products/female_black_mules__DSC4039_Large_3.png
17,"Women's Black Casual Pants",women-s-black-casual-pants-4,Bottoms,Pants,Women,casual,"Female's black pants. Casual style.",/products/extracted-products/female_black_pants__DSC5314_2.png
18,"Women's Blue Casual Jacket",women-s-blue-casual-jacket,Outerwear,Jacket,Women,casual,"Female's blue jacket. Casual style.",/products/extracted-products/female_blue_jacket_outer__DSC3713_Large_1.png
19,"Women's Blue Casual Graphic Print Jeans",women-s-blue-casual-graphic-print-jeans,Bottoms,Jeans,Women,casual,"Female's blue jeans with graphic design. Casual style.",/products/extracted-products/female_blue_jeans_graphic__DSC6271_2.png
20,"Women's Blue Casual Jeans",women-s-blue-casual-jeans,Bottoms,Jeans,Women,casual,"Female's blue jeans. Casual style.",/products/extracted-products/female_blue_jeans__DSC3510_Large_2.png
21,"Women's Blue Casual Jeans",women-s-blue-casual-jeans-2,Bottoms,Jeans,Women,casual,"Female's blue jeans. Casual style.",/products/extracted-products/female_blue_jeans__DSC6406_2.png
22,"Women's Beige Casual Pants",women-s-beige-casual-pants,Bottoms,Pants,Women,casual,"Female's beige pants. Casual style.",/products/extracted-products/female_beige_pants__DSC3952_Large_2.png
23,"Women's Beige Casual Graphic Print T-Shirt",women-s-beige-casual-graphic-print-t-shirt,Apparel,T,Women,casual,"Female's beige t with graphic design. Casual style.",/products/extracted-products/female_beige_t_shirt_graphic__DSC6666_1.png
24,"Women's Blue Casual Jeans",women-s-blue-casual-jeans-3,Bottoms,Jeans,Women,casual,"Female's blue jeans. Casual style.",/products/extracted-products/female_blue_jeans__DSC6666_2.png
25,"Women's Caramel Vintage Graphic Print Blouse",women-s-caramel-vintage-graphic-print-blouse,Tops,Blouse,Women,vintage,"Female's caramel blouse with graphic design. Vintage style.",/products/extracted-products/female_caramel_brown_cropped_blouse_graphic_print_vintage_SONY_ILCE_7RM5_6304x.png
