id,status,sort,name,slug,category,subcategory,gender_category,gender,age_group,price,original_price,image_url,description,sizes,colors,color,pattern,style,sku,featured,new_arrival,on_sale,seo_title,seo_description,canonical_url,product_gallery,image,model_image_1,model_image_2,model_image_3,model_image_1_url,model_image_2_url,model_image_3_url,main_image
1,published,,Beige Longline Tunic with Black Ethnic Embroidered Motifs and Button-Front Design,beige-longline-tunic-with-black-ethnic-embroidered-motifs-and-button-front-design,women,ethnic-fusion,Women,Female,Adults,,,/products/extracted/female_black_dress_graphic__DSC6503_1.png,"This beige longline tunic showcases intricate black ethnic embroidered motifs running along the front, sleeves, and hem, adding artisanal depth to its refined silhouette. Designed with a button-front closure and a modest stand collar, it blends traditional craftsmanship with modern ease. The relaxed fit and side slits ensure comfort and fluid movement, making it perfect for pairing with leggings, denim, or palazzos. This tunic delivers an elegant fusion of cultural detail and contemporary everyday wear.",,,Beige,graphic,casual,ZC-F0005,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_chic_front_standing__DSC6503","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_chic_three_quarter__DSC6503","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_chic_casual_lifestyle__DSC6503",
2,published,,Beige Cropped Hoodie with “University of Florida Gators Nation” Graphic and Drawstring Hem,beige-cropped-hoodie-with-university-of-florida-gators-nation-graphic-and-drawstring-hem,women,activewear,Women,Female,Adults,,,,"This beige cropped hoodie features a bold collegiate-style graphic reading “University of Florida,” “Gators,” “EST. 1953,” and “Gators Nation” in deep green lettering, adding a sporty and vintage-inspired appeal. Designed with a relaxed fit, oversized short sleeves, and an adjustable drawstring hem, it offers both comfort and contemporary streetwear style. The soft fabric and classic hood make it ideal for casual outings, layering, or athleisure looks with a youthful, campus-inspired vibe.",,,Beige,graphic,casual,ZC-F0002,false,,,,,,,4d7c5233-46f8-428c-80c2-f515fd843d57,,,,,,,4d7c5233-46f8-428c-80c2-f515fd843d57
3,published,,Black and White Print Sheer Long-Sleeve Mini Dress,black-and-white-print-sheer-long-sleeve-mini-dress,women,dresses,Women,Female,Adults,,,/products/extracted/female_black_dress_graphic__DSC6503_1.png,"This chic garment is a mini dress featuring a captivating black and white geometric or floral print. The dress is constructed from a sheer, lightweight fabric over a lining, giving it a delicate and airy feel. It has a flattering V-neckline and long sheer sleeves that are fitted at the wrist. The bodice is structured or fitted at the waist, leading to a flared or A-line mini skirt. The overall black and white color scheme is highly versatile and sophisticated, making it suitable for both casual and semi-formal occasions. The combination of the sheer fabric and the vibrant print creates a stylish, feminine look.",,,Black,graphic,casual,ZC-F0009,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_chic_front_standing__DSC6503","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_chic_three_quarter__DSC6503","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_chic_casual_lifestyle__DSC6503",
4,published,,Black Jacquard Balloon-Sleeve Blouse with Subtle Floral Textured Pattern and Button Front,black-jacquard-balloon-sleeve-blouse-with-subtle-floral-textured-pattern-and-button-front,women,tops,Women,Female,Adults,,,products/extracted/female_black_blouse_graphic__DSC3952_Large_1.jpg,"This black jacquard blouse features an elegant floral textured pattern woven into the fabric, adding depth and refinement without the need for printed graphics. The voluminous balloon sleeves create a dramatic silhouette, while the button-front closure and pointed collar offer a polished finish. Its cropped, relaxed fit makes it versatile for pairing with high-waisted bottoms. Sophisticated yet contemporary, this blouse combines artisanal texture with modern design for elevated day-to-night styling.",,,Black,graphic,casual,ZC-F0007,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_smart_casual_front_standing__DSC3952_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_smart_casual_three_quarter__DSC3952_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_smart_casual_casual_lifestyle__DSC3952_Large",
5,published,,Black and White Polka Dot Kids Dress with Ruffled Hem and Puff Sleeves,black-and-white-polka-dot-kids-dress-with-ruffled-hem-and-puff-sleeves,Kids,Dress,Kids,Girl,Kids,,,/products/extracted/female_dark_blue_cargo_pants__DSC4744_Large_2.png,"This black and white kids dress features an all-over polka dot print that adds a playful, timeless charm. Designed with puff sleeves and delicate ruffle details, it brings a sweet, classic silhouette perfect for special occasions or everyday wear. The contrast ruffled hem in larger polka dots enhances visual appeal while maintaining a cohesive look. Crafted from soft, lightweight fabric, the dress ensures comfort and ease of movement, making it an ideal choice for stylish, spirited little ones.",,,Black,graphic,casual,ZC-KG0008,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/model2_female_casual_chic_front_standing__DSC4744_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/model2_female_casual_chic_three_quarter__DSC4744_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/model2_female_casual_chic_casual_lifestyle__DSC4744_Large",
6,published,,Black Satin Cowl Neck Midi Slip Dress,black-satin-cowl-neck-midi-slip-dress,women,dresses,Women,Female,Adults,,,,"A timeless evening piece, this black midi slip dress is made from a smooth black satin or velvet-like fabric. It features thin straps and a draped cowl neckline. The dress falls to a midi length with a straight, slightly fitted silhouette, perfect for a sophisticated look.",,,Black,,casual,ZC-F0010,false,,,,,,,b997e459-3347-4f19-9de0-48b5388cc12b,,,,,,,b997e459-3347-4f19-9de0-48b5388cc12b
7,published,,Black Sparkle Long-Sleeve Mini Wrap Dress,black-sparkle-long-sleeve-mini-wrap-dress,women,dresses,Women,Female,Adults,,,/products/extracted/female_black_dress_speckled__DSC4127_Large_1.png,This flattering mini dress is rendered in a black fabric with subtle silver sparkle or metallic thread woven throughout. It features a classic V-neck wrap silhouette with long sleeves and an elasticated or defined waist that cinches the form. The black color and shimmering texture make it a perfect chic choice for evening wear or a night out.,,,Black,speckled,casual,ZC-F0011,false,,true,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_chic_front_standing__DSC4127_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_chic_three_quarter__DSC4127_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_chic_casual_lifestyle__DSC4127_Large",
9,published,,Black Hoodie with White Geometric Sleeve Print and “1091” Front Graphic Streetwear Design,black-hoodie-with-white-geometric-sleeve-print-and-1091-front-graphic-streetwear-design,women,hoodies,Women,Female,Adults,,,/products/extracted/model2_male_light_green_shirt__DSC3952_Large_4.png,"This black streetwear hoodie features a bold white geometric print running along both sleeves, adding striking visual detail to its relaxed silhouette. The left chest displays a compact “1091” graphic, contributing to its edgy modern identity. Designed with a soft, comfortable fabric and classic hooded construction, it delivers effortless style and everyday wearability. Ideal for casual outings, urban looks, and layering, this hoodie blends comfort with contemporary graphic appeal.",,,Black,graphic,streetwear,ZC-F0013,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_smart_casual_front_standing__DSC3952_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_smart_casual_three_quarter__DSC3952_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_smart_casual_casual_lifestyle__DSC3952_Large",
10,published,,Black Hoodie with White Star Sleeve Print and “EST. 199” Front Graphic Streetwear Style,black-hoodie-with-white-star-sleeve-print-and-est-199-front-graphic-streetwear-style,women,Hoodie,Women,Female,Adults,,,,"This black streetwear hoodie showcases bold white star graphics running down the left sleeve, adding a striking visual accent to its clean silhouette. The front features a minimal “EST. 199” text graphic in crisp white, lending a sporty and contemporary feel. Designed with a relaxed fit, drawstring hood, and soft fabric, it ensures all-day comfort. Ideal for layering, casual outings, and modern urban styling, this hoodie delivers a balanced mix of simplicity and standout graphic detail.",,,Black,graphic,casual,ZC-F0015,false,,,,,,,3338e4c3-b55b-4a2a-9d7b-264beae9175c,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_front_standing__DSC6406","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_three_quarter__DSC6406","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_casual_lifestyle__DSC6406",3338e4c3-b55b-4a2a-9d7b-264beae9175c
12,published,,Women's Black Mules,womens-black-mules,Footwear,Mules,Women,Female,Adults,,,,"Discover this stylish black mules. Crafted with attention to quality and contemporary fashion, this piece offers the perfect blend of style and comfort. The versatile design makes it suitable for various occasions, from casual outings to more polished settings. Quality materials ensure lasting wear while the thoughtful construction provides a comfortable fit. A great addition to any wardrobe. Shop now to add this mules to your collection.",,,Black,,casual,ZC-F0018,false,,,,,,,907fa84b-6503-45f1-b8c8-cdc07db4b44d,,,,,,,907fa84b-6503-45f1-b8c8-cdc07db4b44d
